"Bird"	"Treatment"
"111"	"T2"
"113"	"T2"
"115"	"T2"
"119"	"T2"
"123"	"T2"
"199"	"T3"
"201"	"T3"
"204"	"T3"
"205"	"T3"
"206"	"T3"
"211"	"T3"
"217"	"T3"
"219"	"T3"
"220"	"T3"
"221"	"T3"
"241"	"T2"
"244"	"T2"
"247"	"T2"
"248"	"T2"
"251"	"T2"
"299"	"Males"
"301"	"Males"
"303"	"Males"
"305"	"Males"
"306"	"Males"
"308"	"Males"
"309"	"Males"
"310"	"Males"
"312"	"Males"
"313"	"Males"
"314"	"Males"
"333"	"T4"
"336"	"T4"
"338"	"T4"
"341"	"T4"
"361"	"T4"
"365"	"T4"
"366"	"T4"
"367"	"T4"
"368"	"T4"
"374"	"T4"
"68"	"Control"
"71"	"Control"
"73"	"Control"
"74"	"Control"
"76"	"Control"
"77"	"Control"
"78"	"Control"
"79"	"Control"
"83"	"Control"
"84"	"Control"
"85"	"Control"
