"model"	"Genus"	"estimate"	"std.error"	"statistic"	"p.value"	"p.adj.Bon"
"75 mg/kg vs 0 mg/kg"	"Lactobacillus"	-0.172307387897777	0.103736024262218	-1.66101784913434	0.102615047736325	1
"75 mg/kg vs 0 mg/kg"	"Ligilactobacillus"	-0.0374942830494295	0.105582089876923	-0.355119728101011	0.723909249724666	1
"75 mg/kg vs 0 mg/kg"	"Romboutsia"	0.204298848738023	0.141361835165334	1.44521927363972	0.15428336521784	1
"75 mg/kg vs 0 mg/kg"	"Limosilactobacillus"	-0.353924350538753	0.16443723502752	-2.15233703290815	0.0359438796108834	1
"75 mg/kg vs 0 mg/kg"	"Herbaspirillum"	-4.33695046442819	0.95459506067654	-4.54323581074734	3.23745407641262e-05	0.0260615053151216
"75 mg/kg vs 0 mg/kg"	"Corynebacterium"	0.386410403513934	0.190878905423861	2.0243745774625	0.047984031416964	1
"75 mg/kg vs 0 mg/kg"	"Peptoniphilus"	-0.0256880312967335	0.15310445198976	-0.167781086460187	0.867394091456563	1
"75 mg/kg vs 0 mg/kg"	"Actinomyces"	0.00780743340236557	0.171717560182029	0.0454667151926063	0.963906186276047	1
"75 mg/kg vs 0 mg/kg"	"Gallibacterium"	0.980288800725114	0.275894712027773	3.553126457264	0.000809389094193394	0.651558220825682
"75 mg/kg vs 0 mg/kg"	"HT002"	-0.264291194319696	0.125944658017509	-2.09847085600848	0.0406455905537243	1
"75 mg/kg vs 0 mg/kg"	"Bacteroides"	-0.25816434610706	0.249350189815788	-1.03534850443781	0.305207229528412	1
"75 mg/kg vs 0 mg/kg"	"Aeriscardovia"	0.418126036047201	0.200326272187188	2.08722516264116	0.0416922275790508	1
"75 mg/kg vs 0 mg/kg"	"[Ruminococcus] torques group"	-0.232773991683234	0.167320303170101	-1.3911879626861	0.169981139257185	1
"75 mg/kg vs 0 mg/kg"	"Turicibacter"	0.564744376752327	0.309930015403576	1.82216742065768	0.074073832761417	1
"75 mg/kg vs 0 mg/kg"	"Escherichia-Shigella"	0.559850484891125	0.414629313622856	1.35024337763143	0.182675956486666	1
"75 mg/kg vs 0 mg/kg"	"Enterococcus"	-0.218103225536482	0.202865711813387	-1.07511133146597	0.287194993179013	1
"75 mg/kg vs 0 mg/kg"	"Helcococcus"	0.145450830181309	0.141092284059747	1.03089145625934	0.307273290067812	1
"75 mg/kg vs 0 mg/kg"	"Gallicola"	0.0280704040184563	0.211738006221444	0.132571400474505	0.895034396528045	1
"75 mg/kg vs 0 mg/kg"	"Streptococcus"	0.164976640482973	0.350319259968764	0.470932259041891	0.63962169841748	1
"75 mg/kg vs 0 mg/kg"	"Blautia"	-0.215553120427089	0.162206450595731	-1.32888130919229	0.189580065019006	1
"75 mg/kg vs 0 mg/kg"	"Erysipelatoclostridium"	-0.227834175680784	0.154361301914525	-1.47597987873245	0.145866197160811	1
"75 mg/kg vs 0 mg/kg"	"W5053"	-0.193444657760399	0.216705836953279	-0.892660116958942	0.376074473162235	1
"75 mg/kg vs 0 mg/kg"	"Clostridium sensu stricto 1"	-0.549465337684972	0.166364204573597	-3.30278583120264	0.00171899309023205	1
"75 mg/kg vs 0 mg/kg"	"Bacillus"	1.90196488448796	0.943180960543355	2.01654291599808	0.0488228483466526	1
"75 mg/kg vs 0 mg/kg"	"Staphylococcus"	1.18439684628122	0.977467451374528	1.21169952474193	0.231002057221947	1
"75 mg/kg vs 0 mg/kg"	"Listeria"	1.57451143152573	0.934480160849614	1.68490621576622	0.0978870960980683	1
"75 mg/kg vs 0 mg/kg"	"Brevibacterium"	0.759193428218478	0.244384658400426	3.10655109525957	0.00303903407160034	1
"75 mg/kg vs 0 mg/kg"	"Peptococcus"	-0.358693140117341	0.190887529406261	-1.87908105486526	0.0657370572926529	1
"75 mg/kg vs 0 mg/kg"	"Salmonella"	1.07106123956317	0.9392031378076	1.14039359159657	0.259249602070479	1
"75 mg/kg vs 0 mg/kg"	"Subdoligranulum"	-0.398939517753442	0.197161127453583	-2.02341872815351	0.0480857367533534	1
"75 mg/kg vs 0 mg/kg"	"Faecalibacterium"	-0.191167306786843	0.442524145018165	-0.431992940812294	0.667499010071488	1
"75 mg/kg vs 0 mg/kg"	"Bifidobacterium"	-0.322692922178661	0.200042986843226	-1.61311789666266	0.112658110368815	1
"75 mg/kg vs 0 mg/kg"	"Alistipes"	-0.485593605885461	0.265819979944311	-1.82677617381204	0.0733671535907532	1
"75 mg/kg vs 0 mg/kg"	"Phascolarctobacterium"	-0.349612269793145	0.260528716286113	-1.34193372146048	0.185338467665305	1
"75 mg/kg vs 0 mg/kg"	"Rikenellaceae RC9 gut group"	-0.131714441383631	0.269083527187909	-0.489492771111367	0.626512757252851	1
"75 mg/kg vs 0 mg/kg"	"CAG-56"	-0.00109590488147376	0.289160447266983	-0.00378995430333496	0.99699029078222	1
"75 mg/kg vs 0 mg/kg"	"Dorea"	-0.432856734501113	0.188313326749211	-2.29859852180072	0.0255004581340514	1
"75 mg/kg vs 0 mg/kg"	"Intestinimonas"	-0.547184520126503	0.184533870466518	-2.96522540140286	0.00452624674386975	1
"75 mg/kg vs 0 mg/kg"	"UCG-005"	-0.568120425267764	0.171487781929468	-3.31289155924489	0.00166844200003311	1
"75 mg/kg vs 0 mg/kg"	"Megamonas"	-0.261238598947991	0.235630154924878	-1.10868067387757	0.272573674127455	1
"75 mg/kg vs 0 mg/kg"	"Incertae Sedis"	-0.30263969303241	0.163509091918836	-1.85090437162135	0.0697594196449454	1
"75 mg/kg vs 0 mg/kg"	"Butyricicoccus"	-0.18150513468353	0.359642099627558	-0.504682668885247	0.615873734348839	1
"75 mg/kg vs 0 mg/kg"	"Succiniclasticum"	-2.31019235105256	0.832868581366466	-2.77377776366865	0.0076335882392268	1
"75 mg/kg vs 0 mg/kg"	"Sellimonas"	-0.350861253272949	0.172200853258727	-2.03751170004825	0.0466049274637255	1
"75 mg/kg vs 0 mg/kg"	"UCG-007"	-0.533770165509429	0.217934210186675	-2.44922614513903	0.0176558792039043	1
"75 mg/kg vs 0 mg/kg"	"[Eubacterium] hallii group"	-0.616735176749093	0.28178446274253	-2.18867701485945	0.033047856659585	1
"75 mg/kg vs 0 mg/kg"	"Varibaculum"	-0.254248933045141	0.191909543032679	-1.32483736362108	0.19090903074298	1
"75 mg/kg vs 0 mg/kg"	"Terrisporobacter"	-1.21709964928191	0.292795927721185	-4.15681891054475	0.000118362225450793	0.0952815914878884
"75 mg/kg vs 0 mg/kg"	"Pseudomonas"	0.910895247070293	0.835820330887725	1.08982183539712	0.280722008297741	1
"75 mg/kg vs 0 mg/kg"	"Olsenella"	-0.614213435824177	0.442113252455064	-1.38926718982848	0.170561066703864	1
"75 mg/kg vs 0 mg/kg"	"Colidextribacter"	-0.823396468076461	0.464557074439363	-1.77243338522	0.0820701610490932	1
"75 mg/kg vs 0 mg/kg"	"Faecalicoccus"	-0.342705907605379	0.221992929995595	-1.54376946874921	0.128594636580502	1
"75 mg/kg vs 0 mg/kg"	"Jeotgalicoccus"	1.30889997067114	0.577291382820271	2.26731250391562	0.0274748859860137	1
"75 mg/kg vs 0 mg/kg"	"Acinetobacter"	2.63325064642744	0.516914366258128	5.0941719137914	4.76277701706985e-06	0.00383403549874123
"75 mg/kg vs 0 mg/kg"	"Christensenellaceae R-7 group"	-2.73790410135358	0.872117536506466	-3.1393751263403	0.00276641960940049	1
"75 mg/kg vs 0 mg/kg"	"Lachnospiraceae XPB1014 group"	-2.47503711516104	0.821518903443588	-3.01275735078809	0.0039632857166367	1
"75 mg/kg vs 0 mg/kg"	"GCA-900066575"	-0.3130394268029	0.312161924141449	-1.0028110496303	0.320508634705307	1
"75 mg/kg vs 0 mg/kg"	"Fournierella"	-0.793354898657988	0.742090648490344	-1.06908084648679	0.289878273896059	1
"75 mg/kg vs 0 mg/kg"	"Asinibacterium"	0.230088401081619	0.190165825522953	1.20993559409994	0.231672584711043	1
"75 mg/kg vs 0 mg/kg"	"Fusobacterium"	-1.40188249191316	0.492019724748341	-2.84924042959904	0.00622723223032587	1
