"NovaGeneID"	"Bird"	"Treatment"	"Sample.Date"
"M1"	301	"Males"	"8/8/19"
"M2"	366	"T4"	"8/8/19"
"M3"	123	"T2"	"8/8/19"
"M4"	341	"T4"	"10/16/19"
"M5"	361	"T4"	"10/16/19"
"M6"	199	"T3"	"10/16/19"
"M13"	305	"Males"	"10/16/19"
"M14"	301	"Males"	"10/16/19"
"M15"	303	"Males"	"10/16/19"
"M16"	305	"Males"	"8/8/19"
"M17"	306	"Males"	"8/8/19"
"M20"	248	"T2"	"8/8/19"
"M21"	241	"T2"	"10/16/19"
"M22"	341	"T4"	"8/8/19"
"M23"	365	"T4"	"8/8/19"
"M26"	220	"T3"	"10/16/19"
"M27"	221	"T3"	"10/16/19"
"M28"	336	"T4"	"8/8/19"
"M29"	338	"T4"	"8/8/19"
"M32"	333	"T4"	"10/16/19"
"M33"	338	"T4"	"10/16/19"
"M34"	361	"T4"	"8/8/19"
"M35"	308	"Males"	"8/8/19"
"M36"	368	"T4"	"8/8/19"
"M38"	308	"Males"	"10/16/19"
"M39"	314	"Males"	"10/16/19"
"M40"	303	"Males"	"8/8/19"
"M41"	221	"T3"	"8/8/19"
"M44"	336	"T4"	"10/16/19"
"M45"	366	"T4"	"10/16/19"
"M46"	219	"T3"	"8/8/19"
"M47"	241	"T2"	"8/8/19"
"M50"	219	"T3"	"10/16/19"
"M51"	115	"T2"	"10/16/19"
"M52"	199	"T3"	"8/8/19"
"M53"	201	"T3"	"8/8/19"
"M56"	119	"T2"	"10/16/19"
"M57"	123	"T2"	"10/16/19"
"M59"	309	"Males"	"8/8/19"
"M58"	244	"T2"	"8/8/19"
"M60"	204	"T3"	"8/8/19"
"M62"	217	"T3"	"10/16/19"
"M63"	113	"T2"	"10/16/19"
"M64"	310	"Males"	"8/8/19"
"M65"	367	"T4"	"8/8/19"
"M68"	299	"Males"	"10/16/19"
"M69"	211	"T3"	"10/16/19"
"M70"	299	"Males"	"8/8/19"
"M71"	333	"T4"	"8/8/19"
"M72"	220	"T3"	"8/8/19"
"M74"	201	"T3"	"10/16/19"
"M75"	204	"T3"	"10/16/19"
"M76"	217	"T3"	"8/8/19"
"M77"	119	"T2"	"8/8/19"
"M80"	111	"T2"	"10/16/19"
"M81"	73	"Control"	"10/16/19"
"M82"	211	"T3"	"8/8/19"
"M83"	115	"T2"	"8/8/19"
"M86"	78	"Control"	"10/16/19"
"M87"	79	"Control"	"10/16/19"
"M88"	111	"T2"	"8/8/19"
"M89"	113	"T2"	"8/8/19"
"M95"	310	"Males"	"10/16/19"
"M96"	247	"T2"	"10/16/19"
"M97"	77	"Control"	"8/8/19"
"M98"	78	"Control"	"8/8/19"
"M100"	205	"T3"	"10/16/19"
"M101"	206	"T3"	"10/16/19"
"M102"	247	"T2"	"8/8/19"
"M103"	205	"T3"	"8/8/19"
"M106"	312	"Males"	"10/16/19"
"M107"	248	"T2"	"10/16/19"
"M111"	367	"T4"	"10/16/19"
"M112"	374	"T4"	"10/16/19"
"M113"	251	"T2"	"8/8/19"
"M114"	251	"T2"	"10/16/19"
"M115"	76	"Control"	"10/16/19"
"M116"	79	"Control"	"8/8/19"
"M118"	84	"Control"	"8/8/19"
"M120"	77	"Control"	"10/16/19"
"M121"	83	"Control"	"10/16/19"
"M122"	83	"Control"	"8/8/19"
"M123"	85	"Control"	"8/8/19"
"M125"	206	"T3"	"8/8/19"
"M126"	68	"Control"	"8/8/19"
"M128"	85	"Control"	"10/16/19"
"M129"	312	"Males"	"8/8/19"
"M130"	71	"Control"	"8/8/19"
"M131"	73	"Control"	"8/8/19"
"M132"	313	"Males"	"8/8/19"
"M133"	76	"Control"	"8/8/19"
"M134"	374	"T4"	"8/8/19"
"M142"	368	"T4"	"10/16/19"
"M144"	68	"Control"	"10/16/19"
"M145"	71	"Control"	"10/16/19"
"M146"	313	"Males"	"10/16/19"
"M7"	247	"T2"	"12/20/19"
"M8"	361	"T4"	"12/20/19"
"M9"	83	"Control"	"12/20/19"
"M18"	206	"T3"	"12/20/19"
"M19"	219	"T3"	"12/20/19"
"M24"	366	"T4"	"12/20/19"
"M25"	374	"T4"	"12/20/19"
"M30"	205	"T3"	"12/20/19"
