"sample_name"	"sample_title"	"organism"	"collection_date"	"env_broad_scale"	"env_local_scale"	"env_medium"	"geo_loc_name"	"host"	"lat_lon"	"chem_administration"	"host_age"	"host_disease"	"host_sex"	"host_tissue_sampled"	"samp_collect_device"	"description"
"M10"	"M10_mock community_Control"	"cloacal metagenome"	"1/1/2020"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"Control"	"none"	"female"	"cloacal swab"	"sterile swab"	"mock community_Control"
"M100"	"M100_50 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_50 weeks"
"M101"	"M101_50 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_50 weeks"
"M102"	"M102_25 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_40 weeks"
"M103"	"M103_50 mg/kg metformin_40 weeks"	"cloacal metagenome"	"8/8/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"40 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_40 weeks"
"M104"	"M104_50 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"50 mg/kg metformin_60 weeks"
"M105"	"M105_25 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_60 weeks"
"M107"	"M107_25 mg/kg metformin_50 weeks"	"cloacal metagenome"	"10/16/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"50 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"25 mg/kg metformin_50 weeks"
"M108"	"M108_0 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_60 weeks"
"M109"	"M109_0 mg/kg metformin_60 weeks"	"cloacal metagenome"	"12/20/19"	"ENVO_00000446"	"ENVO_00000002"	"Housed"	"Pennsylvania USA"	"Cobb 500 broiler breeder hen"	"40.8132368, -77.8698626"	"metformin supplemented in feed"	"60 weeks"	"none"	"female"	"cloacal swab"	"sterile swab"	"0 mg/kg metformin_60 weeks"
